Judul,URL,Tanggal,Konten,Kelas
Bima Arya Ungkap Arahan Prabowo: Besok Silahkan Tancap Gas,https://yogyakarta.kompas.com/read/2024/10/27/153116878/bima-arya-ungkap-arahan-prabowo-besok-silahkan-tancap-gas,27/10/2024 15:31,"YOGYAKARTA, KOMPAS.com - Wakil Menteri Dalam Negeri, Bima Arya Sugiarto mengungkapkan arahan dari Presiden Prabowo Subianto saat retret di Akademi Militer (Akmil) Magelang, Jawa Tengah.
Hal tersebut di sampaikan Bima Arya saat tiba di Bandara Adisutjipto Yogyakarta.
""Arahannya Beliau, sampaikan besok silahkan tancap gas, sembari menyiapkan program-program unggulan, prioritas dan nanti diminta untuk dilaporkan kepada Beliau, segera,"" ujar Bima Arya, saat menemui wartawan, di Bandara Adisutjipto Yogyakarta, pada Minggu (27/10/2024).
Bima Arya menyampaikan Kementerian Dalam Negeri akan mengadakan rapat untuk mengoordinasikan terkait program-program unggulan dan prioritas.
Baca juga: Bima Arya dan Retret Kabinet Prabowo di Akmil Magelang 2024...
 



Rapat ini akan dipimpin langsung oleh Menteri Dalam Negeri Muhammad Tito Karnavian.
Rapat koordinasi ini untuk melaksanakan arahan dari Presiden Prabowo Subianto agar kementerian segera menyusun program-program unggulan.
""Besok langsung, Pak Menteri akan pimpin rapat mengoordinasikan program-program prioritas sesuai dengan arahan Bapak Presiden Republik Indonesia,"" tutur dia.
Ia mengatakan, Kementerian Dalam Negeri akan sesegera mungkin menyusun program-program kerja unggulan dan prioritas.
Presiden Prabowo Subianto meminta kementerian-kementerian untuk melaporkan program-program unggulan pada tanggal 7 November 2024.
""Pokoknya langsung tancap gas, langsung kerja keras, langsung konsolidasi. Pak Presiden minta tanggal 7 atau tanggal 8 nanti dilaporkan rencana-rencana kegiatan apa yang nanti akan dikerjakan,"" pungkas dia.
Baca juga: Ganjar Kecam Pengerahan Kades Marak di Jateng, Dorong DPR Komisi 2 Panggil Kemendagri
 
Diberitakan sebelumnya, para menteri dan jajaran Kabinet Merah Putih mengikuti retret yang digelar di Akademi Militer (Akmil) Magelang, Jawa Tengah.
Acara retret ini digelar selama tiga hari dimulai pada 25 Oktober 2024 hingga 27 Oktober 2024. 
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",REGIONAL
Rangkaian HBD 2024 Dihadiri 31.770 Pengguna Motor Honda,https://otomotif.kompas.com/read/2024/10/27/153100215/rangkaian-hbd-2024-dihadiri-31.770-pengguna-motor-honda,27/10/2024 15:31,"KLATEN, KOMPAS.com – Rangkaian Honda Bikers Day (HBD) 2024 yang digelar di empat pulau, yakni Sumatera, Kalimantan, Sulawesi, dan Klaten, Jawa Tengah yang jadi puncaknya, berhasil menyatukan sebanyak 31.770 pengguna motor Honda.
Dalam pelaksanan ke-13 kalinya, HBD tahun ini mengusung tema “Soundtrack of Brotherhood”, yang memiliki makna menyatukan lintas generasi pengguna sepeda motor Honda dalam merayakan kebersamaan.
Tahun ini, HBD menyatukan bikers Honda dari ribuan komunitas dari seluruh Indonesia. Pengunjung juga dapat melihat langsung ragam produk matik besar Honda yang ditemani jajaran sepeda motor Honda lain, beragam apparel dan aksesoris resmi sepeda motor Honda.
Baca juga: 3 Modifikasi Motor Honda Terbaik Juara Nasional HMC 2024
Ajang HBD di Klaten yang menjadi puncak acara, melengkapi tiga gelaran yang telah hadir sebelumnya sejak awal Oktober 2024. Diawali di Pulau Sumatera pada 5 Oktober di Alam Mayang, yang mendatangkan 2.176 bikers.
AHM HBD final Klaten 2024



Selanjutnya, HBD berlanjut menyapa 3.485 bikers di Pulau Kalimantan yang digelar di Lapangan Murjani, Banjarbaru. Gelaran ketiga digelar Pulau Sulawesi di Pantai Akkarena, Makassar yang berhasil menghadirkan 3.952 bikers.
Puncaknya, HBD di Klaten, Jawa Tengah dengan dukungan Astra Motor Yogyakarta pada 26 Oktober 2024 berhasil disambangi 22.157 bikers dari berbagai daerah dan komunitas bersatu di Indonesia.
HBD 2024 juga jadi momen pencinta PCX merayakan kebersamaan, salah satunya seperti yang dilakukan 1.600 bikers Honda PCX di Sulawesi Selatan dan Yogyakarta saat touring menikmati ragam area wisata sebelum menuju gelaran HBD.
Baca juga: Produsen Ban FDR Meriahkan Honda Bikers Day 2024
Untuk touring PCX di Jawa, para bikers Honda PCX touring bersama menikmati keindahan kota Yogyakarta sebelum berkumpul dengan puluhan ribu bikers lainnya pada puncak gelaran HBD 2024.
AHN Honda Bikers Day 2024 di Klaten
""Selama 13 tahun, Honda Bikers Day menjadi wadah silaturahmi puluhan ribu bikers di Tanah Air yang merayakan kecintaan terhadap motor Honda, sekaligus memperkuat persaudaraan dan persatuan dalam suasana yang hangat dan penuh kegembiraan. Kecintaan terhadap sesama juga tertuang dalam keberagaman kegiatan yang bermanfaat bagi masyarakat sekitar,"" ucap General Manager Marketing Planning & Analysis AHM Andy Wijaya, di Klaten, Minggu (27/10/2024).
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",OTOMOTIF
"Inter Vs Juventus, Inzaghi Sorot Perubahan Nyonya, Beda Allegri dan Motta",https://bola.kompas.com/read/2024/10/27/15300088/inter-vs-juventus-inzaghi-sorot-perubahan-nyonya-beda-allegri-dan-motta,27/10/2024 15:30,"KOMPAS.com - Pelatih Inter Milan, Simone Inzaghi, membahas soal Max Allegri dan Thiago Motta jelang partai Derby di'Italia kontra Juventus.
Laga Inter Milan vs Juventus yang merupakan rangkaian pekan kesembilan Liga Italia 2024-2025 akan digelar di Stadion Giuseppe Meazza pada Minggu (27/10/2024) atau Senin (28/10/2024) dini hari WIB.
Pertandingan yang disebut Derby d’Italia ini diprediksi berlangsung ketat dan penuh gengsi. Inter Milan merupakan juara bertahan Serie A, sementara Juventus berharap bisa kembali ke jalur juara di bawah kendali sang pelatih anyar, Thiago Motta.
Thiago Motta datang mengisi tempat Massimiliano Allegri yang meninggalkan kursi pelatih Juventus pada akhir musim lalu.
Baca juga: Hasil-Klasemen Liga Italia: Napoli Kuasai Puncak, AC Milan Tertunda
“Juventus selalu berubah dalam prinsip permainan. Allegri memiliki idenya sendiri, demikian juga dengan Motta,” ujar pelatih Inter Milan, Simone Inzaghi, dalam konferensi pers jelang laga Inter vs Juventus, dikutip dari Football Italia. 



""Melawan Allegri, selalu ada persaingan yang ketat dan final yang ketat. Dia adalah pelatih yang begitu saya hormati, seperti Motta,"" ucap Inzaghi menambahkan.
Selama dipegang Allegri, Juventus dikenal sebagai tim yang pragmatis dan mengutamakan hasil akhir.
Di sisi lain, bersama Motta, Juventus bertekad untuk tampil atraktif. Motta ingin menerapkan pendekatan yang musim lalu sukses membawa Bologna secara ajaib finis di lima besar dan lolos ke Liga Champions.
""(Saat Motta) masih di Bologna, pertandingan juga selalu berjalan sulit. Sekarang dia di Juve dan sejauh ini menjalani musim yang luar biasa di liga dan Liga Champions,"" tutur Inzaghi.
Baca juga: Klasemen Liga Italia: Bungkam Roma, Inter Pepet Napoli, Jay Idzes dkk Juru Kunci
Si Nyonya Besar, julukan Juventus, baru saja mengalami kekalahan perdana musim ini dari Stuttgart (0-1) di Liga Champions 2024-2025.
Kendati demikian, Inzaghi mengakui bahwa sang rival tetap merupakan tim yang solid dan layak diwaspadai. 
Dalam delapan laga Serie A Liga Italia musim ini, Juve asuhan Motta baru sekali kemasukan.
“Juventus adalah tim luar biasa dengan pelatih yang sangat saya hormati. Mereka telah berinvestasi besar dan akan menjadi pesaing utama musim ini,” ujar Inzaghi.
Baca juga: Tijjani Reijnders Optimistis AC Milan Bisa Kejar Gelar Liga Italia
Simone Inzaghi juga menegaskan komitmennya untuk terus mengembangkan Inter Milan setelah sukses membawa mereka meraih scudetto pada 2023-2024 dan tampil di final Liga Champions 2022-2023. 
“Kami harus selalu berkembang, karena sepak bola terus berevolusi, dan tim-tim semakin terorganisasi. Saya ingin terus membangun tim ini bersama staf saya,” ujar Inzaghi.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",BOLA
Link Download Logo dan Twibbon Hari Sumpah Pemuda 2024,https://www.kompas.com/tren/read/2024/10/27/153000565/link-download-logo-dan-twibbon-hari-sumpah-pemuda-2024-,27/10/2024 15:30,"KOMPAS.com - Hari Sumpah Pemuda ke-96 akan diperingati pada Senin, 28 Oktober 2024.
Perayaan Hari Sumpah Pemuda mengingatkan bangsa Indonesia pada sejarah perjuangan merintis kemerdekaan Indonesia pada 1928.
Saat itu, tepatnya pada 28 Oktober 1928, pemuda Indonesia mengikrarkan Sumpah Pemuda yang berisi berbangsa, berbahasa, dan bertumpah darah satu yakni Indonesia. 
Peringatan Hari Sumpah Pemuda ke-96 mengusung tema ""Maju Bersama Indonesia Raya"". Tema ini dimaksudkan sebagai pesan penting mengenai sinergi dan kolaborasi.
Harapannya, tema tersebut dapat membangkitkan semangat pemuda di Tanah Air.
Untuk memperingati Hari Sumpah Pemuda 2024, Kementerian Pemuda dan Olahraga (Kemenpora) merilis desain logo yang bisa digunakan masyarakat untuk menyemarakkan perayaan ini.




Baca juga: Kos-kosan, Saksi Bisu Kelahiran Sumpah Pemuda
Link download logo Hari Sumpah Pemuda 2024
Logo Hari Sumpah Pemuda terdiri dari simbol yang menggambarkan pemuda dan bendera Tanah Air serta memiliki tiga warna, yakni, cornsilk atau warna serabut jagung, emas muda, dan emas.
Di bawah simbol tersebut, disematkan pula tulisan ""96 Tahun Sumpah Pemuda Maju Bersama Indonesia Jaya"".
Tulisan itu menandakan bahwa Hari Sumpah Pemuda 2024 merupakan perayaan yang ke-96 sejak peristiwa bersejarah terjadi pada 28 Oktober 1928.
Berikut logo hari Sumpah Pemuda 2024:

Link download logo Sumpah Pemuda 2024. 

Baca juga: Hari Sumpah Pemuda 28 Oktober 2024, Apakah Tanggal Merah?
Makna Logo Sumpah Pemuda 2024
Logo Sumpah Pemuda 2024 memiliki filosofi tersendiri, baik dari sisi warna hingga simbol-simbol yang digunakan. Berikut ini makna logo Hari Sumpah Pemuda 2024:
1. Ragam pemuda
Tiga pemuda dengan warna berbeda pada simbol logo Hari Sumpah Pemuda 2024 menggambarkan perbedaan dan keragaman yang mampu membawa Indonesia lebih maju.
2. Merah putih Indonesia
Warna Merah Putih bak bendera Indonesia merepresentasikan Indonesia yang bergerak dinamis menujuk kemajuan bangsa dan keemasan Indonesia.
3. Lompatan tinggi
Dalam logo tersebut, simbol yang merepresentasikan pemuda digambarkan sedang melompat. Hal ini menunjukkan kemampuan pemuda untuk memacu Indonesia ke tempat yang lebih tinggi.
Selain terdiri dari simbol-simbol tertentu, logo Hari Sumpah Pemuda juga memiliki 3 warna sebagai berikut:
1. Cornsilk
Cornsilk adalah warna seperti serabut jagung yang menandakan usia pemuda. Meski masih seumur jagung tetapi dapat menjadi sumber kehidupan.
2. Emas muda
Warna emas muda mewakili potensi emas pemuda Indonesia untuk keberlangsungan bangsa di masa mendatang.
3. Emas
Warna emas merepresentasikan harapan menuju Indonesia Emas.
Baca juga: Sejarah Lahirnya Sumpah Pemuda 28 Oktober",TREN
"Usai Ikuti Retret Kabinet Merah Putih, Gibran Tinjau Pasar Gotong Royong Magelang",https://nasional.kompas.com/read/2024/10/27/15253801/usai-ikuti-retret-kabinet-merah-putih-gibran-tinjau-pasar-gotong-royong,27/10/2024 15:25,"JAKARTA, KOMPAS.com - Wakil Presiden (Wapres) Gibran Rakabuming Raka berkunjung ke Pasar Gotong Royong di Kota Magelang, Minggu (27/10/2024) siang. ""Blusukan"" ini dilakukan Gibran usai mengikuti seluruh rangkaian agenda Retret bersama Kabinet Merah Putih, di Akademi Militer (Akmil) Magelang, Jawa Tengah. Kegiatan ini merupakan bagian dari upaya pemerintah untuk memastikan stabilitas harga kebutuhan pokok dan keberlanjutan pasar tradisional di tengah tekanan pasar modern.
Baca juga: Pulang dari Akmil Magelang, Gibran Bagi-bagi Susu Kotak dan Buku Tulis
Dalam peninjauan tersebut, Putra sulung Presiden ke-7 RI, Joko Widodo itu berkeliling dan berdialog langsung dengan para pedagang. Gibran berpendapat, pengendalian harga kebutuhan pokok dan revitalisasi pasar tradisional adalah hal penting untuk dilakukan.


 ""Agar pasar tetap hidup dan perekonomian masyarakat di sekitarnya juga hidup,"" kata Gibran dalam keterangan pers Sekretariat Wakil Presiden, Minggu.

 Adapun Pasar Gotong Royong dikenal sebagai pasar tradisional yang tetap eksis di tengah maraknya pasar modern. Pasar ini menyediakan berbagai kebutuhan pokok masyarakat sekaligus menjadi pusat ekonomi warga sekitar dengan suasana yang khas, yaitu gotong royong dengan interaksi hangat yang masih terjadi antara penjual dan pembeli.
Baca juga: Gibran Tinggalkan Akmil Usai Retret, Sempat Bagikan Buku untuk Warga
Dengan kunjungan ini, eks Wakil Kota Solo itu juga tampak membagikan susu kepada anak-anak yang berada di sekitar Pasar Gotong Royong.  Usai peninjauan pasar, orang nomor dua di Indonesia itu langsung bertolak ke Jakarta untuk melanjutkan kegiatan lain.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",NEWS
"Live MotoGP Thailanda 2024: Balapan Hujan, Quartararo dan Morbodelli Tumbang",https://otomotif.kompas.com/read/2024/10/27/152236315/live-motogp-thailanda-2024-balapan-hujan-quartararo-dan-morbodelli-tumbang,27/10/2024 15:22,"JAKARTA, KOMPAS.com - Fabio Quartararo terjatuh pada sesi awal pertandingan MotoGP Thailand 2024. Pebalap asal Perancis itu jatuh di lap keempat usai berbenturan dengan Franco Morbidelli.
Keduanya bersenggolan, saat Morbidelli coba merebut posisi empat, Quartararo melebar dan terjatuh keluar lintasan.
Sekedar informasi, sesi balapan utama MotoGP Thailand 2024  dilangsungkan di Sirkuit Buriram, Minggu (27/10/2024) pukul 15.00 WIB. Sejak awalnya dimulai pertandingan sudah dilanda hujan deras.
Morbidelli sendiri kena hukuman  long lap penalty akibat insiden tersebut. Namun tak lama berselang, dirinya juga crash dan tidak bisa melanjutkan balapan.
 

Long lap for Morbido! ??


He drops to 8th! #ThaiGP ???????? pic.twitter.com/8V2shdZCf9
— MotoGP™???? (@MotoGP) October 27, 2024
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",OTOMOTIF
"Prakiraan Cuaca Bandung Hari Ini Minggu 27 Oktober 2024, dan Besok : Tengah Malam ini Cerah",https://bandung.kompas.com/read/2024/10/27/152217678/prakiraan-cuaca-bandung-hari-ini-minggu-27-oktober-2024-dan-besok-tengah,27/10/2024 15:22,"Bandung, KOMPAS.com - Halaman ini memuat informasi prakiraan cuaca Bandung, Jawa Barat, untuk hari ini Minggu 27 Oktober 2024 dan besok Senin 28 Oktober 2024.
Silakan simpan halaman ini untuk mengetahui prakiraan cuaca Bandung. Jangan ke luar rumah sebelum Anda baca artikel ini. Data prakiraan cuaca diambil dari BMKG.go.id
Prakiraan Cuaca Bandung Hari Ini Per Jam
Minggu 27 Oktober 2024

01:00 WIB | Cerah | Suhu: 20°C | Kelembapan: 89 % | Kecepatan angin: 5.1 m/s | Arah angin: Timur Laut
04:00 WIB | Cerah | Suhu: 21°C | Kelembapan: 91 % | Kecepatan angin: 5.1 m/s | Arah angin: Timur Laut
07:00 WIB | Cerah | Suhu: 22°C | Kelembapan: 78 % | Kecepatan angin: 6.2 m/s | Arah angin: Timur
10:00 WIB | Cerah | Suhu: 28°C | Kelembapan: 50 % | Kecepatan angin: 7.8 m/s | Arah angin: Timur
13:00 WIB | Cerah | Suhu: 32°C | Kelembapan: 47% | Kecepatan angin: 4.0 m/s | Arah angin: Utara
16:00 WIB | Hujan Ringan | Suhu: 25°C | Kelembapan: 68% | Kecepatan angin: 6.1 m/s | Arah angin: Barat Laut
19:00 WIB | Hujan Ringan | Suhu: 26°C | Kelembapan: 82% | Kecepatan angin: 1.7 m/s | Arah angin: Selatan
22:00 WIB | Cerah | Suhu: 21°C | Kelembapan: 91% | Kecepatan angin: 5.4 m/s | Arah angin: Timur Laut

Prakiraan Cuaca Bandung Besok
Senin 28 Oktober 2024




01:00 WIB | Cerah | Suhu: 20°C | Kelembapan: 93% | Kecepatan angin: 5.7 m/s | Arah angin: Timur Laut
04:00 WIB | Cerah | Suhu: 19°C | Kelembapan: 96% | Kecepatan angin: 5.2 m/s | Arah angin: Timur Laut
07:00 WIB | Cerah | Suhu: 22°C | Kelembapan: 85% | Kecepatan angin: 2.6 m/s | Arah angin: Timur Laut
10:00 WIB | Cerah | Suhu: 28°C | Kelembapan: 57% | Kecepatan angin: 2.6 m/s | Arah angin: Timur Laut
13:00 WIB | Cerah | Suhu: 30°C | Kelembapan: 49% | Kecepatan angin: 4.4 m/s | Arah angin: Selatan
16:00 WIB | Kabut/Asap | Suhu: 28°C | Kelembapan: 52% | Kecepatan angin: 4.4 m/s | Arah angin: Selatan
19:00 WIB | Cerah Berawan | Suhu: 25°C | Kelembapan: 69% | Kecepatan angin: 3.5 m/s | Arah angin: Timur
22:00 WIB | Cerah | Suhu: 24°C | Kelembapan: 75% | Kecepatan angin: 3.5 m/s | Arah angin: Timur

Di Indonesia, informasi prakiraan cuaca setiap daerah dikeluarkan oleh Badan Meteorologi, Klimatologi dan Geofisika (BMKG).
Setiap pagi, kita bisa melihat informasi perkiraan cuaca yang dikeluarkan BMKG. Prakiraan cuaca dilakukan oleh seorang forecaster (prakirawan cuaca)
Pembuatan prakiraan cuaca juga dibantu dengan teknologi pemodelan prediksi cuaca berbasis komputer yakni model Numerical Weather Prediction (NWP).
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",REGIONAL
3 Kerugian Mobil Modern Pakai Aki yang Mulai Soak,https://otomotif.kompas.com/read/2024/10/27/152100815/3-kerugian-mobil-modern-pakai-aki-yang-mulai-soak,27/10/2024 15:21,"KLATEN, KOMPAS.com - Aki mobil mulai soak kerap masih digunakan oleh konsumen. Salah satu alasanya karena masih bisa digunakan, dan sayang untuk menggantinya dengan yang baru.
Bahkan, tak jarang aki bekas juga dipasarkan di toko aki sebagai alternatif ketika konsumen memiliki dana terbatas. Harga aki bekas bisa sepertiga lebih murah daripada barunya.
Konsumen harus tahu, bahwa kondisi aki bekas dan baru tidak sama. Bahkan, pemakaian aki yang sudah soak tidak dianjurkan pada mobil-mobil modern dengan teknologi terbarunya.
Baca juga: Kenapa Bengkel Selalu Sarankan Ganti Aki Mobil, Padahal Bisa Dicas?

Konsumen perlu tahu, bahwa pada mobil modern aki tidak hanya berperan sebagai pemutar motor starter tapi juga menjadi suplai daya listrik ke modul-modul elektronik pada masing-masing sektor seperti mesin, transmisi, kemudia, kelistrikan bodi dan lainnya.



Iwan, pemilik bengkel mobil Iwan Motor Solo mengatakan, ada kerugian perlu ditanggung oleh konsumen ketika mobil tetap bertahan menggunakan aki yang mulai soak.
“Kami menyarankan penggantian aki mobil ketika usia pakainya tinggal 40 persen, sementara batas kemampuan aki untuk menstarter mobil bila sudah mencapai 25 persen,” ucap Iwan kepada Kompas.com, Sabtu (26/10/2024).
Baca juga:  Langkah Aman Jumper Aki Mobil Saat Kondisi Darurat
istockphoto.com Ilustrasi pemeriksaan aki mobil
Iwan mengatakan, pihak bengkel hanya memberikan saran terbaik untuk konsumen terkait penggantian aki. Meski masih bisa dipakai, sebenarnya ada kerugian ketika mobil bertahan dengan kondisi aki mulai soak tersebut.
1. Risiko mogok di jalan
“Kita tidak pernah tahu, berapa lama waktu yang dibutuhkan dari 40 persen sampai aki tak mampu digunakan untuk menstarter mobil, maka dari itu demi mencegah mobil mogok di jalan kami sarankan ganti,” ucap Iwan.
Ketika mobil mogok di jalan, menurut Iwan, pihak konsumen pasti akan merasa kecewa, terlebih lagi mobil baru saja melakukan perawatan.
Baca juga: Alasan Kenapa Bengkel Menyarankan Ganti Aki padahal Mobil Masih Kuat Starter
Shutterstock Ilustrasi mobil mogok
“Maka dari itu, kami menjalankan prosedur operasional standar (SOP) sebaik mungkin demi memberikan layanan terbaik untuk konsumen, konsumen juga berhak mengetahui risiko mogok akibat aki yang sudah mulai soak ini,” ucap Iwan.
Iwan mengatakan, konsumen harus tahu dampaknya, terkait adanya risiko susah mendapatkan bantuan saat mogok di tengah jalan. Hal-hal berpotensi menyulitkan konsumen ini yang dihindari.
2. Efisiensi terganggu
Iwan mengatakan, pemeriksaan aki dilakukan setiap mobil melakukan perawatan juga bertujuan untuk menjaga performa kendaraan, mengingat mobil modern mayoritas dibekali teknologi terbaru.
Baca juga: Awas Aki Mobil Overcharge Bisa Bikin Modul Elektronik Rusak
carsonly.in Ilustrasi perbaikan modul elektronik mobil
“Mobil sekarang sudah banyak mengandalkan elektrik sebagai sistem peningkat efisiensi, dan sistem tersebut mengandalkan suplai listrik dari aki dan dinamo ampere, belum lagi bila sampai ada kerusakan karenanya,” ucap Iwan.
3. Merusak modul elektronik
Imun, pemilik bengkel mobil Spesialis Ford Trucuk, Klaten mengatakan, kondisi aki yang sudah mulai soak dapat mengganggu performa mobil dan merusak komponen elektrikal.
“Modul elektronik pada sistem mobil bisa panas dan rusak ketika mendapatkan suplai listrik tak stabil, penyebabnya karena aki sudah mulai soak dan dinamo ampere tak prima, maka dari itu wajib diperiksa setiap perawatan,” ucap Imun kepada Kompas.com, Sabtu (26/10/2024).
Demi mencegah kerugian tersebut, konsumen wajib segera mengganti aki mobil yang sudah mulai soak dan jangan coba-coba memakai aki bekas, karena kualitasnya kurang terjamin.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",OTOMOTIF
Survei Indikator: Tingkat Kepercayaan Publik ke Presiden 86 Persen,https://nasional.kompas.com/read/2024/10/27/15205981/survei-indikator-tingkat-kepercayaan-publik-ke-presiden-86-persen,27/10/2024 15:20,"JAKARTA, KOMPAS.com - Survei Indikator Politik Indonesia menunjukkan bahwa TNI menjadi lembaga dengan tingkat kepercayaan publik paling tinggi, yaitu sebesar 96 persen. Hal ini terlihat dari jejak pendapat yang dilakukan Indikator Politik kepada 1.200 orang di seluruh Indonesia pada 10-15 Oktober 2024. ""TNI masih paling tinggi, paling dipercaya,"" kata Peneliti Utama Indikator Politik Indonesia, Burhanuddin Muhtadi dalam rilis survei terkait keyakinan dan ekspektasi publik terhadap Pemerintahan Prabowo-Gibran secara daring, Minggu (27/10/2024).
Baca juga: Survei Indikator: Mayoritas Responden Percaya Menu Program Makan Bergizi Gratis Penuhi Kecukupan Gizi Burhanuddin mengatakan, urutan kedua disusul presiden dengan tingkat kepercayaan 86 persen. ""Kemudian Kejaksaan Agung (75 persen), pengadilan (73 persen), Polri (69 persen), Mahkamah Konstitusi (68 persen), MPR (67 persen), DPD (66 persen), KPK (65 persen), DPR (64 persen), dan Partai Politik (60 persen),"" ujarnya.




Survei nasional ini dilakukan terhadap 38 provinsi yang ada di Indonesia ini dilakukan dengan multistage random sampling. Survei ini memiliki margin of error sekitar 2,9 persen pada tingkat kepercayaan 95 persen.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",NEWS
"Serang Pesepeda di Deli Serdang, 2 Motor Diduga Anggota Geng Motor Dibakar",https://medan.kompas.com/read/2024/10/27/152006078/serang-pesepeda-di-deli-serdang-2-motor-diduga-anggota-geng-motor-dibakar,27/10/2024 15:20,"MEDAN, KOMPAS.com - Dua unit sepeda motor komplotan diduga geng motor dibakar warga usai menyerang warga di Desa Durin Tonggal, Kecamatan Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara.
Kepala Polsek Pancur Batu AKP Krisnat Napitupulu mengatakan, peristiwa itu terjadi pada Sabtu (26/10/2024).
Mulanya, korban inisial J sedang bersepeda sendirian, sekitar pukul 07.00 WIB.
""Lalu, korban berpapasan dengan pelaku sekitar 5 orang dengan mengendarai sepeda motor,"" kata Krisnat kepada Kompas.com melalui sambungan telepon pada Minggu (27/10/2024).
""Terus mereka berselisih. Pelaku melukai tangan korban menggunakan benda tajam,"" sambungnya.
Baca juga: Cerita Retret di Akmil, Cak Imin: Ada yang Enggak Bisa Baris-berbaris, Ada yang Ahli




Baca juga: Dijanjikan Anaknya Lolos Bintara Polisi, Owner Rumah Makan di Lampung Tertipu hingga Rp 1 Miliar
Warga bakar motor pelaku
Setelah itu, korban berteriak begal ke arah para pelaku.
Warga yang mendengar teriakan itu mendatangi lokasi dan membantu korban. ""Di situ lah, dua sepeda motor pelaku dibakar. Untuk kondisi korban saat ini sudah membaik,"" ujar Krisnat.
Baca juga: Wamenkeu Beberkan Agenda 100 Hari Kerja, Konsolidasikan Astacita di APBN 2025
Mendapati informasi itu, personel kepolisian dari Polsek Pancur Batu datang ke lokasi dan mengamankan sejumlah pelaku.
""Itu lima orang kita amankan. Kami sudah lakukan pengembangan dan menangkap satu pelaku lagi,"" sebut Krisnat. ""Totalnya ada 6 orang. Usianya, 3 orang dewasa dan 3 orang di bawah umur,"" sambungnya.  Adapun, para pelaku masih menjalani pemeriksaan. Polisi pun masih mendalami motif dan modus para pelaku. ""Lebih lengkapnya besok akan disampaikan. Ini pemeriksaan masih berlanjut,"" tutupnya.
Baca juga: Tanggapan Andika Perkasa soal Indikasi Pelanggaran Netralitas Kades di Pilkada Jateng 2024
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",REGIONAL
